AIS,Ano,Data,Hora,Dia da Semana,Gênero da Vítima,Idade da Vítima,Escolaridade da Vítima,Raça da Vítima
AIS 13,2021,01/01/2021,0,Sexta,Feminino,34,Não Informada,Não Informada
AIS 14,2021,01/01/2021,0,Sexta,Feminino,47,Alfabetizado,Não Informada
AIS 15,2021,01/01/2021,0,Sexta,Feminino,40,Ensino Fundamental Incompleto,Parda
AIS 11,2021,01/01/2021,0,Sexta,Feminino,24,Ensino Médio Incompleto,Parda
AIS 16,2021,01/01/2021,0,Sexta,Feminino,33,Alfabetizado,Não Informada
AIS 24,2021,01/01/2021,0,Sexta,Feminino,22,Ensino Médio Completo,Não Informada
AIS 06,2021,01/01/2021,0,Sexta,Feminino,35,Ensino Médio Completo,Não Informada
AIS 07,2021,01/01/2021,1,Sexta,Feminino,22,Não Informada,Não Informada
AIS 12,2021,01/01/2021,1,Sexta,Feminino,28,Ensino Médio Incompleto,Não Informada
AIS 18,2021,01/01/2021,1,Sexta,Feminino,33,Ensino Fundamental Incompleto,Não Informada
AIS 16,2021,01/01/2021,1,Sexta,Feminino,24,Ensino Médio Completo,Não Informada
AIS 19,2021,01/01/2021,1,Sexta,Feminino,39,Ensino Médio Completo,Não Informada
AIS 11,2021,01/01/2021,1,Sexta,Feminino,42,Ensino Médio Completo,Parda
AIS 11,2021,01/01/2021,2,Sexta,Feminino,48,Alfabetizado,Não Informada
AIS 17,2021,01/01/2021,2,Sexta,Feminino,27,Não Informada,Não Informada
AIS Não Identificada (Fortaleza),2021,01/01/2021,2,Sexta,Feminino,24,Ensino Médio Completo,Parda
AIS 23,2021,01/01/2021,2,Sexta,Feminino,23,Ensino Fundamental Completo,Não Informada
AIS 19,2021,01/01/2021,2,Sexta,Feminino,33,Ensino Médio Incompleto,Não Informada
AIS Não Identificada (Fortaleza),2021,01/01/2021,3,Sexta,Feminino,38,Ensino Médio Completo,Não Informada
AIS 06,2021,01/01/2021,3,Sexta,Feminino,27,Ensino Médio Completo,Parda
AIS 07,2021,01/01/2021,3,Sexta,Feminino,48,Ensino Médio Completo,Não Informada
AIS 16,2021,01/01/2021,3,Sexta,Feminino,33,Alfabetizado,Branca
AIS 14,2021,01/01/2021,3,Sexta,Feminino,44,Ensino Médio Completo,Não Informada
AIS 19,2021,01/01/2021,4,Sexta,Feminino,37,Ensino Fundamental Completo,Não Informada
AIS Não Identificada (Fortaleza),2021,01/01/2021,5,Sexta,Feminino,21,Ensino Fundamental Completo,Não Informada
AIS 10,2021,01/01/2021,5,Sexta,Feminino,33,Ensino Médio Completo,Não Informada
AIS 06,2021,01/01/2021,5,Sexta,Feminino,38,Ensino Médio Completo,Parda
AIS 19,2021,01/01/2021,5,Sexta,Feminino,43,Não Informada,Parda
AIS 16,2021,01/01/2021,5,Sexta,Feminino,31,Não Informada,Não Informada
AIS Não Identificada (Fortaleza),2021,01/01/2021,6,Sexta,Feminino,19,Ensino Médio Completo,Parda
AIS 03,2021,01/01/2021,6,Sexta,Feminino,24,Ensino Médio Completo,Não Informada
AIS 18,2021,01/01/2021,6,Sexta,Feminino,38,Ensino Médio Completo,Parda
AIS 07,2021,01/01/2021,7,Sexta,Feminino,35,Ensino Médio Incompleto,Não Informada
AIS 05,2021,01/01/2021,7,Sexta,Feminino,34,Ensino Médio Completo,Não Informada
AIS 19,2021,01/01/2021,7,Sexta,Feminino,65,Alfabetizado,Não Informada
AIS 10,2021,01/01/2021,8,Sexta,Feminino,54,Ensino Médio Completo,Não Informada
AIS 14,2021,01/01/2021,8,Sexta,Feminino,23,Ensino Médio Incompleto,Parda
AIS 07,2021,01/01/2021,9,Sexta,Feminino,35,Ensino Médio Completo,Parda
AIS 17,2021,01/01/2021,9,Sexta,Feminino,33,Ensino Fundamental Incompleto,Não Informada
AIS 13,2021,01/01/2021,10,Sexta,Feminino,35,Superior Incompleto,Não Informada
AIS 20,2021,01/01/2021,10,Sexta,Feminino,47,Ensino Fundamental Completo,Não Informada
AIS 20,2021,01/01/2021,10,Sexta,Feminino,31,Ensino Médio Incompleto,Não Informada
AIS 04,2021,01/01/2021,10,Sexta,Feminino,54,Ensino Fundamental Incompleto,Não Informada
AIS 04,2021,01/01/2021,10,Sexta,Feminino,22,Ensino Médio Completo,Não Informada
AIS 18,2021,01/01/2021,10,Sexta,Feminino,35,Ensino Médio Completo,Não Informada
AIS 18,2021,01/01/2021,10,Sexta,Feminino,37,Alfabetizado,Preta
AIS 18,2021,01/01/2021,12,Sexta,Feminino,29,Ensino Fundamental Incompleto,Não Informada
AIS 14,2021,01/01/2021,12,Sexta,Feminino,23,Ensino Médio Incompleto,Parda
AIS 18,2021,01/01/2021,12,Sexta,Feminino,57,Ensino Fundamental Completo,Parda
AIS 24,2021,01/01/2021,13,Sexta,Feminino,54,Alfabetizado,Parda
AIS 06,2021,01/01/2021,13,Sexta,Feminino,32,Ensino Médio Incompleto,Parda
AIS 15,2021,01/01/2021,13,Sexta,Feminino,26,Ensino Médio Completo,Parda
AIS 04,2021,01/01/2021,13,Sexta,Feminino,31,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,01/01/2021,13,Sexta,Feminino,32,Ensino Médio Completo,Não Informada
AIS 19,2021,01/01/2021,14,Sexta,Feminino,19,Ensino Fundamental Incompleto,Parda
AIS Não Identificada (Fortaleza),2021,01/01/2021,14,Sexta,Feminino,23,Ensino Fundamental Completo,Não Informada
AIS 08,2021,01/01/2021,15,Sexta,Feminino,41,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,01/01/2021,15,Sexta,Feminino,35,Ensino Médio Completo,Não Informada
AIS 11,2021,01/01/2021,15,Sexta,Feminino,24,Ensino Médio Completo,Parda
AIS 14,2021,01/01/2021,15,Sexta,Feminino,22,Ensino Médio Completo,Parda
AIS 14,2021,01/01/2021,15,Sexta,Feminino,26,Superior Incompleto,Não Informada
AIS 25,2021,01/01/2021,16,Sexta,Feminino,27,Alfabetizado,Não Informada
AIS 22,2021,01/01/2021,16,Sexta,Feminino,24,Alfabetizado,Não Informada
AIS 09,2021,01/01/2021,16,Sexta,Feminino,55,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,01/01/2021,16,Sexta,Feminino,21,Ensino Fundamental Completo,Parda
AIS 21,2021,01/01/2021,17,Sexta,Feminino,17,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,01/01/2021,17,Sexta,Feminino,47,Ensino Fundamental Incompleto,Não Informada
AIS 18,2021,01/01/2021,17,Sexta,Feminino,17,Alfabetizado,Não Informada
AIS 12,2021,01/01/2021,17,Sexta,Feminino,34,Ensino Médio Completo,Não Informada
AIS 18,2021,01/01/2021,18,Sexta,Feminino,37,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,01/01/2021,18,Sexta,Feminino,28,Ensino Fundamental Incompleto,Parda
AIS 25,2021,01/01/2021,18,Sexta,Feminino,27,Ensino Médio Completo,Não Informada
AIS 14,2021,01/01/2021,18,Sexta,Feminino,25,Ensino Médio Completo,Não Informada
AIS 14,2021,01/01/2021,19,Sexta,Feminino,32,Superior Incompleto,Não Informada
AIS 14,2021,01/01/2021,20,Sexta,Feminino,39,Alfabetizado,Parda
AIS 05,2021,01/01/2021,20,Sexta,Feminino,18,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,01/01/2021,20,Sexta,Feminino,43,Superior Completo,Não Informada
AIS 19,2021,01/01/2021,20,Sexta,Feminino,24,Ensino Médio Incompleto,Branca
AIS 13,2021,01/01/2021,21,Sexta,Feminino,41,Alfabetizado,Parda
AIS 10,2021,01/01/2021,21,Sexta,Feminino,27,Alfabetizado,Não Informada
AIS 21,2021,01/01/2021,21,Sexta,Feminino,33,Ensino Fundamental Incompleto,Parda
AIS 04,2021,01/01/2021,22,Sexta,Feminino,45,Ensino Fundamental Incompleto,Não Informada
AIS 16,2021,01/01/2021,22,Sexta,Feminino,51,Alfabetizado,Não Informada
AIS 19,2021,01/01/2021,22,Sexta,Feminino,39,Ensino Médio Completo,Não Informada
AIS 02,2021,01/01/2021,23,Sexta,Feminino,32,Ensino Médio Completo,Parda
AIS 19,2021,01/01/2021,23,Sexta,Feminino,46,Ensino Médio Completo,Parda
AIS 17,2021,01/01/2021,23,Sexta,Feminino,23,Alfabetizado,Não Informada
AIS 09,2021,02/01/2021,0,Sábado,Feminino,38,Ensino Fundamental Completo,Branca
AIS Não Identificada (Fortaleza),2021,02/01/2021,0,Sábado,Feminino,25,Alfabetizado,Não Informada
AIS 19,2021,02/01/2021,0,Sábado,Feminino,40,Ensino Fundamental Completo,Amarela
AIS 19,2021,02/01/2021,1,Sábado,Feminino,49,Superior Completo,Branca
AIS 14,2021,02/01/2021,2,Sábado,Feminino,27,Superior Completo,Não Informada
AIS 16,2021,02/01/2021,4,Sábado,Feminino,37,Alfabetizado,Amarela
AIS 04,2021,02/01/2021,6,Sábado,Feminino,42,Alfabetizado,Não Informada
AIS 02,2021,02/01/2021,8,Sábado,Feminino,71,Alfabetizado,Não Informada
AIS 05,2021,02/01/2021,8,Sábado,Feminino,41,Ensino Fundamental Incompleto,Não Informada
AIS 07,2021,02/01/2021,9,Sábado,Feminino,48,Alfabetizado,Não Informada
AIS 12,2021,02/01/2021,9,Sábado,Feminino,30,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,02/01/2021,10,Sábado,Feminino,65,Alfabetizado,Não Informada
AIS 05,2021,02/01/2021,11,Sábado,Feminino,35,Não Informada,Não Informada
AIS 06,2021,02/01/2021,12,Sábado,Feminino,45,Alfabetizado,Não Informada
AIS 02,2021,02/01/2021,12,Sábado,Feminino,50,Ensino Fundamental Completo,Não Informada
AIS 06,2021,02/01/2021,13,Sábado,Feminino,29,Não Informada,Não Informada
AIS 18,2021,02/01/2021,13,Sábado,Feminino,23,Superior Completo,Não Informada
AIS 19,2021,02/01/2021,14,Sábado,Feminino,22,Ensino Fundamental Incompleto,Branca
AIS 18,2021,02/01/2021,14,Sábado,Feminino,38,Ensino Fundamental Incompleto,Não Informada
AIS Não Identificada (Fortaleza),2021,02/01/2021,15,Sábado,Feminino,37,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,02/01/2021,15,Sábado,Feminino,23,Ensino Médio Incompleto,Não Informada
AIS 19,2021,02/01/2021,15,Sábado,Feminino,45,Não Informada,Parda
AIS 19,2021,02/01/2021,15,Sábado,Feminino,14,Não Informada,Parda
AIS 15,2021,02/01/2021,15,Sábado,Feminino,23,Ensino Médio Completo,Não Informada
AIS 14,2021,02/01/2021,15,Sábado,Feminino,33,Não Informada,Não Informada
AIS 21,2021,02/01/2021,16,Sábado,Feminino,23,Não Alfabetizado,Não Informada
AIS 05,2021,02/01/2021,17,Sábado,Feminino,45,Ensino Médio Completo,Não Informada
AIS 04,2021,02/01/2021,17,Sábado,Feminino,34,Ensino Médio Completo,Não Informada
AIS 11,2021,02/01/2021,17,Sábado,Feminino,24,Alfabetizado,Parda
AIS 21,2021,02/01/2021,17,Sábado,Feminino,30,Alfabetizado,Não Informada
AIS 20,2021,02/01/2021,17,Sábado,Feminino,43,Ensino Médio Completo,Não Informada
AIS 12,2021,02/01/2021,17,Sábado,Feminino,50,Ensino Médio Incompleto,Não Informada
AIS 21,2021,02/01/2021,17,Sábado,Feminino,29,Ensino Médio Completo,Não Informada
AIS 01,2021,02/01/2021,18,Sábado,Feminino,40,Superior Completo,Não Informada
AIS 14,2021,02/01/2021,18,Sábado,Feminino,30,Superior Completo,Não Informada
AIS 19,2021,02/01/2021,18,Sábado,Feminino,22,Ensino Fundamental Completo,Preta
AIS 02,2021,02/01/2021,19,Sábado,Feminino,31,Ensino Médio Completo,Parda
AIS 03,2021,02/01/2021,20,Sábado,Feminino,21,Ensino Médio Completo,Não Informada
AIS 05,2021,02/01/2021,20,Sábado,Feminino,28,Não Informada,Não Informada
AIS 02,2021,02/01/2021,20,Sábado,Feminino,36,Ensino Médio Completo,Parda
AIS 23,2021,02/01/2021,20,Sábado,Feminino,53,Alfabetizado,Parda
AIS 16,2021,02/01/2021,20,Sábado,Feminino,28,Superior Completo,Não Informada
AIS 14,2021,02/01/2021,20,Sábado,Feminino,43,Alfabetizado,Parda
AIS 23,2021,02/01/2021,20,Sábado,Feminino,34,Ensino Médio Completo,Não Informada
AIS 23,2021,02/01/2021,20,Sábado,Feminino,34,Ensino Médio Completo,Não Informada
AIS 24,2021,02/01/2021,21,Sábado,Feminino,58,Ensino Fundamental Completo,Não Informada
AIS 06,2021,02/01/2021,21,Sábado,Feminino,71,Ensino Fundamental Incompleto,Não Informada
AIS 03,2021,02/01/2021,21,Sábado,Feminino,22,Ensino Médio Completo,Não Informada
AIS 09,2021,02/01/2021,22,Sábado,Feminino,48,Ensino Fundamental Completo,Não Informada
AIS 21,2021,02/01/2021,23,Sábado,Feminino,37,Alfabetizado,Branca
AIS 04,2021,02/01/2021,23,Sábado,Feminino,25,Alfabetizado,Não Informada
AIS 10,2021,03/01/2021,0,Domingo,Feminino,39,Ensino Médio Completo,Não Informada
AIS 02,2021,03/01/2021,1,Domingo,Feminino,30,Ensino Médio Completo,Não Informada
AIS 17,2021,03/01/2021,1,Domingo,Feminino,30,Ensino Médio Completo,Parda
AIS 04,2021,03/01/2021,6,Domingo,Feminino,37,Ensino Fundamental Completo,Parda
AIS 14,2021,03/01/2021,7,Domingo,Feminino,26,Ensino Fundamental Completo,Parda
AIS 04,2021,03/01/2021,8,Domingo,Feminino,44,Ensino Fundamental Completo,Parda
AIS 20,2021,03/01/2021,8,Domingo,Feminino,26,Alfabetizado,Não Informada
AIS 17,2021,03/01/2021,8,Domingo,Feminino,22,Ensino Médio Completo,Parda
AIS 25,2021,03/01/2021,9,Domingo,Feminino,56,Ensino Fundamental Completo,Não Informada
AIS 02,2021,03/01/2021,9,Domingo,Feminino,38,Ensino Médio Completo,Não Informada
AIS 04,2021,03/01/2021,9,Domingo,Feminino,25,Não Informada,Não Informada
AIS 20,2021,03/01/2021,9,Domingo,Feminino,26,Alfabetizado,Não Informada
AIS 08,2021,03/01/2021,9,Domingo,Feminino,47,Ensino Médio Completo,Não Informada
AIS 03,2021,03/01/2021,10,Domingo,Feminino,52,Ensino Fundamental Incompleto,Não Informada
AIS 03,2021,03/01/2021,10,Domingo,Feminino,34,Ensino Médio Completo,Não Informada
AIS 20,2021,03/01/2021,11,Domingo,Feminino,37,Ensino Médio Completo,Parda
AIS 06,2021,03/01/2021,12,Domingo,Feminino,34,Ensino Médio Completo,Não Informada
AIS 08,2021,03/01/2021,12,Domingo,Feminino,52,Ensino Fundamental Incompleto,Não Informada
AIS 11,2021,03/01/2021,12,Domingo,Feminino,64,Ensino Fundamental Incompleto,Branca
AIS 24,2021,03/01/2021,12,Domingo,Feminino,56,Não Alfabetizado,Não Informada
AIS 12,2021,03/01/2021,12,Domingo,Feminino,40,Ensino Fundamental Completo,Preta
AIS 07,2021,03/01/2021,12,Domingo,Feminino,44,Ensino Médio Completo,Não Informada
AIS 13,2021,03/01/2021,12,Domingo,Feminino,42,Ensino Fundamental Completo,Não Informada
AIS 11,2021,03/01/2021,13,Domingo,Feminino,20,Alfabetizado,Não Informada
AIS 11,2021,03/01/2021,13,Domingo,Feminino,24,Ensino Médio Completo,Não Informada
AIS 16,2021,03/01/2021,14,Domingo,Feminino,29,Alfabetizado,Não Informada
AIS 14,2021,03/01/2021,15,Domingo,Feminino,41,Alfabetizado,Não Informada
AIS 14,2021,03/01/2021,16,Domingo,Feminino,42,Não Informada,Branca
AIS 02,2021,03/01/2021,16,Domingo,Feminino,42,Ensino Fundamental Completo,Parda
AIS 09,2021,03/01/2021,16,Domingo,Feminino,32,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,03/01/2021,16,Domingo,Feminino,34,Alfabetizado,Não Informada
AIS 19,2021,03/01/2021,16,Domingo,Feminino,34,Superior Completo,Não Informada
AIS 03,2021,03/01/2021,16,Domingo,Feminino,40,Ensino Médio Completo,Não Informada
AIS 24,2021,03/01/2021,16,Domingo,Feminino,53,Alfabetizado,Não Informada
AIS 19,2021,03/01/2021,16,Domingo,Feminino,67,Ensino Fundamental Completo,Não Informada
AIS 19,2021,03/01/2021,16,Domingo,Feminino,46,Ensino Médio Completo,Não Informada
AIS Não Identificada (Fortaleza),2021,03/01/2021,17,Domingo,Feminino,55,Ensino Médio Completo,Não Informada
AIS 17,2021,03/01/2021,17,Domingo,Feminino,35,Ensino Médio Completo,Parda
AIS 19,2021,03/01/2021,17,Domingo,Feminino,34,Ensino Médio Incompleto,Não Informada
AIS 19,2021,03/01/2021,18,Domingo,Feminino,33,Ensino Fundamental Incompleto,Parda
AIS 23,2021,03/01/2021,18,Domingo,Feminino,52,Alfabetizado,Não Informada
AIS 07,2021,03/01/2021,18,Domingo,Feminino,34,Ensino Médio Completo,Não Informada
AIS 05,2021,03/01/2021,18,Domingo,Feminino,31,Ensino Fundamental Completo,Não Informada
AIS 02,2021,03/01/2021,19,Domingo,Feminino,26,Superior Incompleto,Não Informada
AIS 19,2021,03/01/2021,19,Domingo,Feminino,39,Ensino Médio Completo,Não Informada
AIS 21,2021,03/01/2021,19,Domingo,Feminino,36,Ensino Médio Completo,Branca
AIS 16,2021,03/01/2021,19,Domingo,Feminino,48,Alfabetizado,Parda
AIS 14,2021,03/01/2021,19,Domingo,Feminino,42,Ensino Médio Completo,Não Informada
AIS 23,2021,03/01/2021,19,Domingo,Feminino,46,Alfabetizado,Não Informada
AIS 20,2021,03/01/2021,19,Domingo,Feminino,26,Alfabetizado,Não Informada
AIS Não Identificada (Fortaleza),2021,03/01/2021,19,Domingo,Feminino,22,Não Informada,Não Informada
AIS 19,2021,03/01/2021,19,Domingo,Feminino,44,Ensino Médio Completo,Parda
AIS 02,2021,03/01/2021,20,Domingo,Feminino,28,Ensino Médio Completo,Não Informada
AIS 05,2021,03/01/2021,20,Domingo,Feminino,44,Ensino Médio Completo,Não Informada
AIS 01,2021,03/01/2021,20,Domingo,Feminino,34,Superior Completo,Não Informada
AIS 24,2021,03/01/2021,20,Domingo,Feminino,37,Não Informada,Não Informada
AIS 18,2021,03/01/2021,20,Domingo,Feminino,23,Ensino Médio Completo,Não Informada
AIS 08,2021,03/01/2021,20,Domingo,Feminino,43,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,03/01/2021,21,Domingo,Feminino,49,Não Informada,Não Informada
AIS 25,2021,03/01/2021,21,Domingo,Feminino,39,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,03/01/2021,21,Domingo,Feminino,30,Ensino Médio Completo,Preta
AIS 12,2021,03/01/2021,21,Domingo,Feminino,42,Ensino Médio Completo,Não Informada
AIS 06,2021,03/01/2021,22,Domingo,Feminino,31,Alfabetizado,Parda
AIS Não Identificada (Fortaleza),2021,03/01/2021,23,Domingo,Feminino,35,Ensino Médio Completo,Não Informada
AIS 10,2021,03/01/2021,23,Domingo,Feminino,25,Ensino Médio Completo,Não Informada
AIS 19,2021,04/01/2021,0,Segunda,Feminino,16,Ensino Médio Incompleto,Parda
AIS 17,2021,04/01/2021,0,Segunda,Feminino,31,Ensino Fundamental Incompleto,Não Informada
AIS 11,2021,04/01/2021,2,Segunda,Feminino,70,Ensino Médio Completo,Branca
AIS 14,2021,04/01/2021,2,Segunda,Feminino,26,Superior Completo,Não Informada
AIS 08,2021,04/01/2021,3,Segunda,Feminino,61,Ensino Fundamental Incompleto,Não Informada
AIS 21,2021,04/01/2021,3,Segunda,Feminino,69,Alfabetizado,Não Informada
AIS 15,2021,04/01/2021,3,Segunda,Feminino,50,Superior Completo,Não Informada
AIS 06,2021,04/01/2021,5,Segunda,Feminino,56,Ensino Fundamental Incompleto,Não Informada
AIS 04,2021,04/01/2021,6,Segunda,Feminino,61,Alfabetizado,Não Informada
AIS 04,2021,04/01/2021,6,Segunda,Feminino,32,Não Informada,Não Informada
AIS 07,2021,04/01/2021,6,Segunda,Feminino,24,Alfabetizado,Não Informada
AIS 19,2021,04/01/2021,8,Segunda,Feminino,36,Alfabetizado,Não Informada
AIS 17,2021,04/01/2021,8,Segunda,Feminino,50,Superior Completo,Não Informada
AIS 25,2021,04/01/2021,9,Segunda,Feminino,35,Ensino Fundamental Incompleto,Não Informada
AIS 20,2021,04/01/2021,9,Segunda,Feminino,45,Alfabetizado,Não Informada
AIS 14,2021,04/01/2021,9,Segunda,Feminino,26,Ensino Fundamental Completo,Parda
AIS 13,2021,04/01/2021,10,Segunda,Feminino,50,Não Alfabetizado,Branca
AIS 05,2021,04/01/2021,10,Segunda,Feminino,54,Não Alfabetizado,Não Informada
AIS 08,2021,04/01/2021,11,Segunda,Feminino,64,Alfabetizado,Não Informada
AIS 19,2021,04/01/2021,11,Segunda,Feminino,56,Alfabetizado,Não Informada
AIS 19,2021,04/01/2021,11,Segunda,Feminino,59,Ensino Fundamental Completo,Não Informada
AIS 19,2021,04/01/2021,12,Segunda,Feminino,40,Alfabetizado,Não Informada
AIS 15,2021,04/01/2021,12,Segunda,Feminino,50,Ensino Fundamental Incompleto,Parda
AIS 01,2021,04/01/2021,12,Segunda,Feminino,39,Superior Incompleto,Não Informada
AIS 07,2021,04/01/2021,12,Segunda,Feminino,37,Não Informada,Não Informada
AIS 03,2021,04/01/2021,12,Segunda,Feminino,37,Superior Completo,Não Informada
AIS 19,2021,04/01/2021,12,Segunda,Feminino,29,Ensino Fundamental Completo,Não Informada
AIS 19,2021,04/01/2021,12,Segunda,Feminino,34,Ensino Fundamental Incompleto,Parda
AIS 09,2021,04/01/2021,13,Segunda,Feminino,57,Não Alfabetizado,Não Informada
AIS 05,2021,04/01/2021,13,Segunda,Feminino,23,Não Informada,Não Informada
AIS 21,2021,04/01/2021,13,Segunda,Feminino,20,Ensino Médio Completo,Não Informada
AIS 19,2021,04/01/2021,14,Segunda,Feminino,51,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,04/01/2021,14,Segunda,Feminino,19,Ensino Médio Incompleto,Parda
AIS 05,2021,04/01/2021,15,Segunda,Feminino,31,Ensino Fundamental Completo,Não Informada
AIS 05,2021,04/01/2021,15,Segunda,Feminino,43,Superior Incompleto,Não Informada
AIS 20,2021,04/01/2021,16,Segunda,Feminino,64,Não Alfabetizado,Não Informada
AIS 18,2021,04/01/2021,16,Segunda,Feminino,28,Alfabetizado,Não Informada
AIS 21,2021,04/01/2021,16,Segunda,Feminino,33,Superior Incompleto,Parda
AIS 03,2021,04/01/2021,16,Segunda,Feminino,32,Superior Completo,Não Informada
AIS 19,2021,04/01/2021,17,Segunda,Feminino,46,Alfabetizado,Não Informada
AIS 19,2021,04/01/2021,17,Segunda,Feminino,18,Ensino Médio Incompleto,Não Informada
AIS 05,2021,04/01/2021,17,Segunda,Feminino,27,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,04/01/2021,18,Segunda,Feminino,24,Ensino Médio Incompleto,Não Informada
AIS 07,2021,04/01/2021,18,Segunda,Feminino,44,Ensino Fundamental Incompleto,Não Informada
AIS 15,2021,04/01/2021,18,Segunda,Feminino,62,Superior Completo,Não Informada
AIS 11,2021,04/01/2021,19,Segunda,Feminino,47,Não Informada,Parda
AIS 15,2021,04/01/2021,19,Segunda,Feminino,26,Ensino Médio Completo,Branca
AIS 16,2021,04/01/2021,19,Segunda,Feminino,63,Alfabetizado,Não Informada
AIS 14,2021,04/01/2021,19,Segunda,Feminino,49,Ensino Fundamental Incompleto,Não Informada
AIS 11,2021,04/01/2021,19,Segunda,Feminino,45,Não Alfabetizado,Parda
AIS 19,2021,04/01/2021,19,Segunda,Feminino,39,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,04/01/2021,20,Segunda,Feminino,32,Ensino Médio Completo,Não Informada
AIS 11,2021,04/01/2021,20,Segunda,Feminino,33,Ensino Médio Incompleto,Branca
AIS 12,2021,04/01/2021,20,Segunda,Feminino,27,Ensino Médio Completo,Não Informada
AIS 06,2021,04/01/2021,20,Segunda,Feminino,27,Ensino Médio Completo,Não Informada
AIS 19,2021,04/01/2021,21,Segunda,Feminino,18,Ensino Fundamental Completo,Parda
AIS 16,2021,04/01/2021,21,Segunda,Feminino,46,Ensino Fundamental Incompleto,Não Informada
AIS 20,2021,04/01/2021,22,Segunda,Feminino,28,Ensino Fundamental Completo,Parda
AIS 06,2021,04/01/2021,23,Segunda,Feminino,39,Ensino Fundamental Incompleto,Não Informada
AIS 06,2021,05/01/2021,0,Terça,Feminino,39,Superior Incompleto,Não Informada
AIS 04,2021,05/01/2021,0,Terça,Feminino,78,Ensino Médio Completo,Não Informada
AIS 06,2021,05/01/2021,0,Terça,Feminino,34,Superior Incompleto,Não Informada
AIS 05,2021,05/01/2021,0,Terça,Feminino,46,Ensino Fundamental Incompleto,Não Informada
AIS 16,2021,05/01/2021,1,Terça,Feminino,37,Alfabetizado,Amarela
AIS 19,2021,05/01/2021,1,Terça,Feminino,39,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,05/01/2021,2,Terça,Feminino,45,Ensino Médio Incompleto,Não Informada
AIS 09,2021,05/01/2021,6,Terça,Feminino,49,Ensino Fundamental Incompleto,Não Informada
AIS 06,2021,05/01/2021,8,Terça,Feminino,47,Não Alfabetizado,Não Informada
AIS 01,2021,05/01/2021,8,Terça,Feminino,37,Alfabetizado,Não Informada
AIS 10,2021,05/01/2021,8,Terça,Feminino,42,Superior Completo,Não Informada
AIS 02,2021,05/01/2021,8,Terça,Feminino,35,Ensino Médio Completo,Não Informada
AIS 16,2021,05/01/2021,8,Terça,Feminino,31,Ensino Médio Completo,Parda
AIS 14,2021,05/01/2021,9,Terça,Feminino,31,Ensino Médio Completo,Não Informada
AIS 11,2021,05/01/2021,9,Terça,Feminino,69,Alfabetizado,Parda
AIS 16,2021,05/01/2021,9,Terça,Feminino,51,Alfabetizado,Não Informada
AIS 17,2021,05/01/2021,9,Terça,Feminino,18,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,05/01/2021,10,Terça,Feminino,16,Ensino Fundamental Incompleto,Parda
AIS 20,2021,05/01/2021,10,Terça,Feminino,30,Ensino Médio Completo,Não Informada
AIS 20,2021,05/01/2021,12,Terça,Feminino,26,Ensino Fundamental Incompleto,Não Informada
AIS 09,2021,05/01/2021,13,Terça,Feminino,55,Ensino Fundamental Incompleto,Não Informada
AIS 02,2021,05/01/2021,13,Terça,Feminino,38,Ensino Médio Incompleto,Não Informada
AIS Não Identificada (Fortaleza),2021,05/01/2021,13,Terça,Feminino,34,Superior Completo,Não Informada
AIS 23,2021,05/01/2021,13,Terça,Feminino,32,Ensino Médio Completo,Não Informada
AIS 15,2021,05/01/2021,13,Terça,Feminino,22,Ensino Fundamental Completo,Não Informada
AIS 05,2021,05/01/2021,14,Terça,Feminino,52,Ensino Fundamental Incompleto,Não Informada
AIS 19,2021,05/01/2021,14,Terça,Feminino,40,Superior Completo,Parda
AIS 19,2021,05/01/2021,15,Terça,Feminino,56,Alfabetizado,Não Informada
AIS 19,2021,05/01/2021,16,Terça,Feminino,31,Ensino Médio Incompleto,Parda
AIS 19,2021,05/01/2021,16,Terça,Feminino,21,Ensino Médio Incompleto,Não Informada
AIS 11,2021,05/01/2021,17,Terça,Feminino,26,Ensino Fundamental Completo,Indígena
AIS 11,2021,05/01/2021,17,Terça,Feminino,25,Ensino Fundamental Completo,Não Informada
AIS 09,2021,05/01/2021,17,Terça,Feminino,28,Não Informada,Não Informada
AIS 18,2021,05/01/2021,17,Terça,Feminino,35,Ensino Médio Completo,Não Informada
AIS 10,2021,05/01/2021,17,Terça,Feminino,27,Superior Incompleto,Não Informada
AIS 01,2021,05/01/2021,17,Terça,Feminino,27,Superior Incompleto,Não Informada
AIS 03,2021,05/01/2021,18,Terça,Feminino,37,Superior Completo,Não Informada
